,Screen_name,Text,Location,Sentiment,Latitude,Longitude
356,OnePrideDE,(+) I'm doing anything to prevent me and my family from getting COVID-19 but even if the Staffords tested positive (which they don't) I would have put on a mask and helped. I know that the situation in the USA is different to Germany but don't forget about each other in these times.,Minden,+,52.2881045,8.9168852
357,WIRRALGLOBENEWS,() Further death with Covid-19 at Arrowe Park hospital,Wirral,,53.3409714,-3.0500916
359,freekev22,"(+) @StevenBeschloss Yep. A deep clean. With the COVID-19 outbreak in the Trump administration, a complete disinfection of the WH. The Bidens' should not move in until March. It make that long to throughly clean the place",Twin Cities,+,38.2910251,-121.31106
360,PJaminator,(+) Shortly the entire Trump administration will succumb to COVID-19 and the diabolical democratic plot will the complete. Biden will roll into DC in a self-driving car to socially distanced crowds and victory. ✊✊🏽✊🏻,San Francisco Bay Area,+,37.7884969,-122.3558473
362,cravi,() Peter Brindley: Covid-19 fatigue and “masking” how we feel - The BMJ,Coyoacán,,19.32804005,-99.1510634069359
363,WendyFerris12,(+) White House chief of staff Mark Meadows tests positive for COVID-19,"New Brunswick, Canada",+,46.500283,-66.750183
364,IAMDONNASUZETTE,"(-) Between the past stay at home orders, quarantining, delays due to Covid-19 &amp; the election results, I think we’ve mastered the skill of #patience this year💋","Atlanta, GA",-,33.7490987,-84.3901849
365,gutter_hero,(+) @EW FERRIS BUELLER'S DAY OUT: The boomers ignore Covid-19 precautions to go around town endangering their health and the health of those around them Will make a great horror movie!,Boggy Creek,+,28.347292,-81.318775
366,OldWhiteGal1,"(+) Excellent question. @realDonaldTrump , where is the vaccine. It's November 7, and Covid-19 did not disappear on the 4th.","Frederick, CO",+,40.0991506,-104.9371993
368,NSEupdate,(+) Kwara records two new cases of COVID-19 #NSEUPDATE,"Abuja, Nigeria",+,9.0643305,7.4892974
369,gadgetmanjay,"(+) Tech Update: The US went more than 2 months before amassing its first 200,000 COVID-19 cases — its latest 200,000 have come in just the past 2 days ...Let's Discuss? #digitaltransformation #digitalstrategy #digitalworkplace","Nottingham, UK",+,52.9534161,-1.1492773
370,Solitude_Steve,(+) Nobody is talking about this really but we should keep an eye out in Denmark and how they found covid-19 has mutated in minks and now millions of them are going to be eliminated. #2020 #COVIDー19,"Los Angeles, CA 🇲🇽🇸🇻🇺🇸",+,34.054935,-118.244476
371,isnotpolitics,(+) Kwara records two new cases of COVID-19,Africa,+,2.0000003,15.9999997
372,pmnewsnigeria,() Gov. Lalong lauds COVID-19 research team in Plateau,"Lagos, Nigeria",,6.4550575,3.3941795
373,ozzfus3,() @JoeBiden A split and deeply divided nation. Had it not been for Covid-19 the results would be flipped. How Biden and Harris behave will either begin the bridge or create resistance.,"Kentucky, USA",,37.5726028,-85.1551411
374,Sean_L_Brooks,(+) President Trump's chief of staff Mark Meadows tests positive for COVID-19,"Randallstown, Maryland",+,39.36909865,-76.7959596423594
376,olddike,(-) Don't get a false sense of security with Covid-19 testing. Here's why you can test negative but still be infected and contagious,wnc,-,55.8525304,-133.2292283
377,costapoker,(+) Which is a bigger shame for @gop politicians? You Testing positive for Covid-19 hoax or your unwed teenage daughter testing positive for pregnancy?,"Ohio, USA",+,40.2253569,-82.6881395
378,Candlelighters_,() @jashford77 @cnnbrk No worries Covid-19 is a #trumphoax,Florida,,27.7567667,-81.4639835
379,azxwalton,(+) White House chief of staff Mark Meadows tests positive for COVID-19 via @GMA,"Des Moines, IA",+,41.5910641,-93.6037149
381,SkolGriswold,(+) Covid-19 down to only three things trending in the far back... also read an article last night that said it may be safe to go to concerts during Covid...hmmmmm,The Underground,+,35.468384,-97.5145648
382,meredithvegeta1,(-) @TeaPainUSA @mattgaetz As you can see covid-19 loves stupid people,ky,-,37.5726028,-85.1551411
384,alxstep,() COVID-19,"New York, NY",,40.7306458,-73.9866136
385,stevemann,"(-) Indeed. Dumb ASS!! But hey, other than him is anyone really surpised? #karmaisabtch Trump chief of staff Mark Meadows tests positive for Covid-19 via @msnbc","Connecticut, USA",-,41.6500201,-72.7342163
386,rparrawong,() 2/(06/11) COVID-19 #Chile 🇨🇱,Sudamérica,,-34.4779627,-58.7398675
387,CaffeineSociali,"(+) Get the orange fascist out of the White House! ""For the third consecutive day, the United States has set a new world record for the most Covid-19 cases recorded in a single 24-hour span, with more than 132,700 new cases on Friday""",Treaty 7,+,29.3509933,-98.4026121
388,rparrawong,() 3/(06/11) COVID-19 #Chile 🇨🇱,Sudamérica,,-34.4779627,-58.7398675
389,UsLiberate,(-) @SenSchumer Where’s your stupid daily COVID-19 testing post? Dem-panic over? Asking anonymously. I don’t want to end up on AOC’s gulag list.,Inman SC,-,35.0470617,-82.0901088
390,rifnote,(+) Kai Havertz breaks silence on Chelsea recovery after testing positive for COVID-19 -,"Lagos, Nigeria",+,6.4550575,3.3941795
391,rparrawong,() 4/(06/11) COVID-19 #Chile 🇨🇱,Sudamérica,,-34.4779627,-58.7398675
393,AlWomackFL,(+) @yourhonorsir @Chicago1Ray @realDonaldTrump @Jim_Jordan @TheJusticeDept New Covid-19 cases = Distraction while they count more ballots to try to win. #Distraction #ElectionFraud,"Jacksonville, FL",+,30.3321838,-81.655651
394,RunwayGirlBecca,() ICYMI: COVID-19 lounge food precautions improve BA #PaxEx #avgeek #aviation #travel,Oro medonte Ontario,,44.5445701,-79.5628295462922
395,nibor1955,() 'Government by decree - Covid-19 and the Constitution': Lord Sumption via @YouTube Everyone should watch this. What this government is doing in the midst of #COVIDー19 is shameful. Freedom is valuable,London,,51.5073219,-0.1276474
396,PaulCogan,"(+) U.S. Sets Daily COVID-19 Record With More Than 126,000 New Cases",Toronto,+,43.653963,-79.387207
397,oXxRowanxXo,(+) Oh no...Matt Gaetz COVID-19 positive....,New York,+,40.7306458,-73.9866136
398,GlobefactNews,(+) COVID-19 antibodies could last 6 months or more: study,United States,+,39.7837304,-100.4458825
399,OfficialBaba_D,"(-) @btsportfootball @TheDesKelly Ole Gunnar Solskjaer should understand that COVID-19 is not an excuse to continue losing. Every player, fan and manager in the world witnessed the COVID-19 and if you are defeated, it wasn’t angels that played against you, other players from this planet earth did. Wake up!","Owerri, Nigeria",-,5.489736,7.0341973
400,Heerak4Congress,() You can get COVID-19 while shopping! @GiantFood @Walmart @superfreshgrwrz @WholeFoods @Costco @7eleven @Kmart @FoodLion @shoppers @Shoprite_SA @NPRFood @foodbankmetrodc @WFPUSA @WaPoFood @FDAfood @CDCgov @WHO @NHS @HarvardChanSPH @BBC See pinned tweet!,"Arlington, Virginia",,38.8903961,-77.0841585
401,Pharma_Trader,"(+) @iancassel @AlexBest1985 Excellent tidbit, Ian. I was just thinking about how millions were EASILY made pharma trading bio run-ups just a decade ago, and now, the E/V revolution, tech, covid-19 stocks etc... rule the world. Adapting &amp; overcoming is how I continue to make $$$. Planning ahead is key!",United States,+,39.7837304,-100.4458825
402,cherbic555,(+) Covid-19 : The Great Reset -search on Google. Unless we fight back -this is heading our way. Be warned!,Oxford,+,51.7520131,-1.2578499
403,AFCWatertown,(+) COVID-19 means double trouble this flu season. What you should know about both heading into winter: For more information click on the link: #coronavirus #covid19 #flu,"Watertown, MA",+,42.3709299,-71.1828321
404,wendyc78757,"(+) @ananavarro As soon as there is a vaccine and COVID-19 has calm down, my friends and I are going to take a trip to Philadelphia. I’ve never been there and I’ve always wanted to visit.🇺🇸💙😊","Dallas, TX",+,32.7762719,-96.7968559
405,GritSuccess,(+) Skills to Develop during the Covid-19 Lockdown These are unusual times. The global experience of the Covid-19,"Ibadan, Nigeria",+,7.3777462,3.8972497
406,Bill19300155,"(+) U.S. Sets Daily COVID-19 Record With More Than 126,000 Cases. We are still talking about covid ⁦@realDonaldTrump⁩",Central Ohio,+,40.2253569,-82.6881395
407,sbanks44,() Petition: Fully fund schools for Covid-19 costs and provide relief for loss of income,York,,53.9590555,-1.0815361
408,cmbtimesnews,() Zahran’s wife gets Covid-19 treatment at Welikanda hospital #COVID19LK,Sri Lanka,,7.878,80.7038245875
409,Shakilomar,() EVERYONE EVERYWHERE URGENTLY NEEDS TO SEE THIS! The COVID-19 Genocide of 2020 via @BitChute,"Alberta, Canada",,55.001251,-115.002136
410,whitneyclarktv,"(+) And a reminder that COVID-19 didn’t just go away. More than 2,600 cases added in Arizona today #azfamily","Phoenix, AZ",+,33.4485866,-112.0773456
411,NewsEverything_,(+) COVID-19 Information: Dwell Updates – The New York Instances – #NewsEverything #NewYork,All over the World,+,33.80842345,-117.92002488054
412,cheryl_fahling,"(+) Covid-19 🦠 Newsbites 🦠 US set staggering daily case record of more than 120,000 infections 🦠 @MarkMeadows reportedly tested positive 🦠 Coronavirus cases at US colleges hit a quarter million More ➡️ #Covid-19 #mask😷 #stayhome",Northeast Indiana,+,40.3270127,-86.1746933
415,Suraksha_Pinnu,"() @epigiri says that the testing rates decrease as you move away from urban areas, as a result of which numbers may be lower. Our weekly Covid update: 'Coping with Coronavirus', where each week we look at one Covid-19 story. This week, we look at falling Covid cases @shankarsview","Bengaluru, India",,12.9791198,77.5912997
416,GrubenPamela,() @mattgaetz @ChrisDJackson This is a lie and a last ditch effort to discredit the Biden campaign. I hope you wear a mask to prevent the spread of covid-19 to your family.,"California, USA",,36.7014631,-118.7559974
417,policeofficer,() Video: UAE police band plays musical tribute to Covid-19 heroes around the world,"San Dimas, CA",,34.1066756,-117.8067257
418,IrishTimesBiz,(-) Passengers from some EU states will not have to quarantine on arrival in the Republic from next week once they have a test showing that they are Covid-19 negative,Ireland,-,52.865196,-7.9794599
419,WABI_TV5,(+) Bus company on MDI suspending services through November 15th after employee tests positive for COVID-19,"Bangor, Maine",+,44.8011821,-68.7778138
420,georginatown,"(+) The Georgina Leisure Pool is open. There are various swim programs to keep you physically active, with COVID-19 safety protocols in place. Enjoy programs like parent and child swim, Aquafit &amp; lane swim. Pre-registration is required. For more info, visit","Georgina, Ontario, Canada",+,44.31781865,-79.3262724361787
421,southkesteven,(+) Those over 60 or clinically vulnerable could be at higher risk of severe illness from coronavirus. This is how to protect people more at risk from Covid-19 under the new UK-wide rules:,"Lincolnshire, UK",+,53.166667,-0.25
422,abiworld,() Is there a need for a need for a National Emergency Restructuring to emerge from COVID-19 disruption? Join international experts as they discuss the proposal and issues surrounding it at ABI's #IntInsolvForum on 11/18-20. Registered?,"Alexandria, VA",,38.8147596,-77.0902476527272
423,LinoCoria,() My seven-year-old is concerned that Santa Claus will bring COVID-19 to our house. She suggested we leave a facemask by the Christmas tree.,"Port Moody, BC, Canada",,49.283932,-122.829895
424,phishingorguk,() Ransomware Attacks Are On the Rise During COVID-19 #security #infosec #ransomware #malware #phish #datasecurity #cybercrime #databreach #cryptocurrency #gdpr #iot #hack #privacy #dataprotection #technology #cybersecurity #informationsecurity,"London, UK",,51.5073219,-0.1276474
425,CityPtbo,"(+) We all have an important role to play to protect ourselves and our community from COVID-19 . Always follow Peterborough Public Health guidelines 👉 #washyourhands often, keep your #physicaldistance &amp; #wearamask. Let's all do our part.",Peterborough ON,+,44.3048009,-78.3199496
426,FOX8NOLA,"(+) 1,031 new COVID-19 cases, 15 new deaths reported Saturday in Mississippi",New Orleans,+,29.9499323,-90.0701156
427,WTKR3,"(+) Virginia reports largest single-day COVID-19 case increase of 2,103 cases; Local areas report 305 new cases, 3 deaths","Hampton Roads, Virginia",+,36.9751474,-76.3496662
429,BDCitizen,"(+) I was a patient at Marshfield Medical Center, Beaver Dam, in the past week. I was admitted and found myself on the COVID-19 treatment floor. I watched the dedicated staff perform their duties cheerfully and exceptionally well.","Beaver Dam, Wisconsin",+,43.4577692,-88.837329
430,My_Chamber,"() On B2B @GregDurocher chats re: Ontario budget, COVID-19 &amp; U.S. election results with @La_Presse @jbellava. Also, @DTKitchener &amp; @uptownwaterloo reps issue shopping challenge. @CowanInsurance rep looks at financial wellness. Tune to @570NEWS Sunday at noon for all things business.","Cambridge, Ontario, Canada",,43.385339,-80.310402
431,usmccarterswife,() Grunt Style | Shop The F*ck Covid-19 Tee Bundle,USA,,39.7837304,-100.4458825
432,Stephen80209,"(+) US coronavirus: New Covid-19 deaths have topped 1,000 for four straight days as infections soar . Voting is not the issue - this is!","Chicago, IL",+,41.8755546,-87.6244212
433,beepbonkers,"(-) @aura_icy @hyckai @TreacyWolf i dont think you understand that NOBODY LIKES EITHER PRESIDENT. but america has had the worst handling of covid-19 in the world, your president is threatening to end democracy and attempting to sue states that wont stop counting w/ no proof they're violating anything.",❗❗ SFW ❗❗,-,39.2421433,44.3034086
434,NancyAdairB,"() The Literate Quilter: Covid-19 Life: Jitters, #TBR shelf, The Fur-grandkids","Michigan, USA",,43.6211955,-84.6824346
435,HamletHubRidge,() CT in Phase 2.1 due to rise of COVID-19 @CTRidgefield Major changes under Phase 2.l Major ...,"Ridgefield, CT",,41.2814842,-73.4981792
436,BPeeples17,(+) Fingers crossed folks 🤞 Health officials 'cautiously optimistic' a COVID-19 vaccine will be ready by early next year,"Cobourg, Ontario",+,43.963909,-78.169098
437,Tetrisnet,"(+) U.S. Shatters Single-Day Record of #COVIDー19 Cases again ! Topping 132,000 New Covid-19 Cases - Friday.",Australia,+,-24.7761086,134.755
438,AnilDixit49,(+) I am proud to have contributed to India's fight against COVID-19 by donating to #PMCARES. Join the movement &amp; contribute at ..! #IndiaFightsCorona,India ,+,22.3511148,78.6677428
439,Pia_Fidelis,(+) COVID-19 IN OC: REGION AT RISK OF MOVING BACK TO MOST RESTRICTIVE PURPLE TIER AS INFECTION RATE INCREASES,"LBC, California",+,34.9489489,-120.433693374942
440,sandyherr2,"(-) @tedlieu @realDonaldTrump Trump promised COVID-19 would be GONE Nov 4, Day after ELECTION. What Happened, Was Donald WRONG AGAIN","California, USA ",-,36.7014631,-118.7559974
441,graybarn41,(+) I do wish anyone who has contracted covid-19 a swift and complete recovery. But I can't help but see this as an allegory somehow...,Connecticut,+,41.6500201,-72.7342163
442,BrytonRobinson,() @SpaceCowboy928 that’s my money after being off for 2 weeks with no pay because my employer ended COVID-19 relief pay,flavor town,,40.0440149,-75.3878616
444,hhsgreen,(-) They said ND and SD were hot spots for COVID-19 but look at all that white space. Fake news.,"Missoula, MT",-,46.8700801,-113.9952796
445,InsPolitics,"(-) Covid-19 Has Killed 4,593 People In The US Since Election Day. Trump Hasn’t Mentioned It Once",London & Oxford,-,51.5497511,-0.1405303
446,irishexaminer,(+) New: Ireland will follow the UK in introducing a mandatory 14-day self-isolation period for people arriving from Denmark following an outbreak of Covid-19 in the country’s mink population,Ireland,+,52.865196,-7.9794599
447,MikeyWise123,"(-) Covid-19 Has Killed 4,593 People In The US Since Election Day. Trump Hasn’t Mentioned It Once",London,-,51.5073219,-0.1276474
448,JeffDStephens,(+) Interesting visualization showing the correlation between age groups. Young adults being the biggest spreaders of covid-19 across age groups.,"Washington, DC",+,38.8949549,-77.0366456
449,Beatgrrrl,(+) How L.A.’s Creative Economy Can Recover from COVID-19 to a More Equitable Place,"California, USA",+,36.7014631,-118.7559974
450,C21Westman,"(+) OPEN HOUSE TODAY! Saturday, November 7th, 1:00 - 3:00PM Facemask Required You are welcome to stop in for a tour of this beautiful home. COVID-19 Policy and Procedures are being followed. #homesforsale #realestate...","Brandon, Manitoba",+,49.8511143,-99.9608924
451,reader4lyf,"(+) @lucymcaldwell Well, it's a good thing they've all already been exposed to Covid-19 these last few days, so they won't have to worry about that.","Dayton, OH",+,39.7589478,-84.1916069
452,sauga960am,"() Tune into #BIGTALK today at noon as Karen and Ameek dive into everything political this week. Everything from Ford’s deficit focused budget, the mail-in ballot fiasco to determine the presidency, and Peel in the COVID-19 RED! @fordnation @JoeBiden @regionofpeel","Mississauga, Ontario",,43.590338,-79.645729
453,NBC12,(+) Twelve new COVID-19 outbreaks were reported statewide and two new deaths were reported in Central Virginia on Saturday.,"Richmond, VA",+,37.5385087,-77.43428
454,alabamawind,"() Wind farm study panel to begin meeting again #KS: OSWEGO – The COVID-19 pandemic kept a committee studying wind energy in Labette County from having public meetings, but that work will continue soon based on direction from the Labette County Commission…","Windy Hill, Alabama, USA",,33.843937,-86.202382
455,whitneyclarktv,"(+) And a reminder that COVID-19 didn’t just go away. 2,621 new cases reported in Arizona today #azfamily","Phoenix, AZ",+,33.4485866,-112.0773456
457,WatchOurCity,() (CNS) MLB Won’t Punish Turner For On-Field World Series Celebration Despite COVID-19 #LosAngeles,California,,36.7014631,-118.7559974
458,sevronfoundaton,"(+) Congratulations to @ISRO on successful launch of EOS-01 and 9 international satellites from USA, Luxembourg and Lithuania. This important launch amidst crises caused by COVID-19 reflects the capability, perseverance and resilience of our scientists and engineers.","New Delhi, India",+,28.6141793,77.2022662
459,cnni,"(+) This week, as voters cast ballots and waited to see who would clinch the White House, the Covid-19 pandemic largely fell out of view. But the coronavirus continued to spread, in some places at a higher rate than ever before.",Everywhere,+,52.1366141,-0.4694972
460,jeremy_hume,"(+) @tosh_cox @YouTube The 'new normal', in which Boris Johnson dictates how many humans you can peacefully interact with, is dystopian. Our country has become a police state. Am I the only one who is genuinely more worried about government overreach than COVID-19 (which has a 99.5%+ recovery rate)?",Oxford,+,51.7520131,-1.2578499
461,ghostdansing,(+) Covid-19 Live Updates: Deaths Rise in 27 States as Virus Surges Across U.S. nyt 11.07.20,cyberspace,+,52.59425525,-2.12879795153547
463,Wexford_tweeter,() Coronavirus: UK bans Denmark visitors over mink Covid-19 fears,Ireland,,52.865196,-7.9794599
464,Holisticnewsli1,() COVID-19 Cases In U.S. Reach Record Highs Again,Kentucky,,37.5726028,-85.1551411
465,KhosoSaifullah,(-) @hamzashafqaat @hamzashafqaat acc: to my sources few other departments of NUML also had covid-19 positive cases! Please look into this matter seriously,"Quetta, Pakistan",-,30.1898158,67.019087
466,MadiGraceThomas,(+) Mom has Covid-19 (she’s doing good) Dad has the sweetest heart,"St Louis, MO",+,38.6337716,-90.2416548
467,JaviMoranta,() Why These Photographers Are Still Working During COVID-19 vía @shutterstock,Palma de Mallorca,,39.5695818,2.6500745
468,CBCHealth,"() Albertans told to stop having parties, gatherings at home to bend COVID-19 curve",Canada,,61.0666922,-107.9917071
469,MrFilmkritik,"(+) Republican Matt Gaetz, catching COVID-19 after wearing a gas mask to mock the Coronavirus, is the icing on the cake to Trump's defeat.",Germany,+,51.0834196,10.4234469
470,TimEdwardsZero4,"(+) White House officials were aware of chief of staff Mark Meadows' COVID-19 diagnosis earlier this week, despite him being seen without a mask... No sympathy for these people. They don't deserve it.","Huntsville, AL ",+,34.729847,-86.5859011
471,CBCHealth,"(+) Winter will help COVID-19 spread more easily, experts say — here's what they suggest you do about it",Canada,+,61.0666922,-107.9917071
472,NigNewspapers,() Gov. Lalong lauds COVID-19 research team in Plateau #Nigeria #NigeriaNews,London - UK,,51.5073219,-0.1276474
473,the_devik,() 🚨 Matt Gertz does NOT have COVID-19 🚨,"63.1650° N, 50.7379° W",,63.0893788,-50.6733023
474,PestCanadian,(+) Insect Pest Control Market: Poised For a Strong 2021 Outlook Post Covid-19 Scenario - TechnoWeekly,"Ontario, CA",+,50.000678,-86.000977
475,ketheesh_waran,"(-) @102Johnl @parkboy2019 @CNN @realDonaldTrump @JoeBiden If he cannot at least give such guarantee, why do you need him and why Americans have to put up with him? Already everyone except some confused Americans knows that he is a threat to USA. Very minimum he should give a guarantee that there will be no more Covid-19 related deaths","Cincinnati, OH",-,39.1014537,-84.5124602
476,mlangatt,"(-) @piersmorgan Misplaced priorities, just like they were caught pants down by covid-19 which forced people to vote by mail.",Kenyas,-,59.3385367,18.0681311
478,timescolonist,() Surging infections in Manitoba a COVID-19 cautionary tale: experts,"Victoria, B.C., Canada",,-37.1331216,-56.8830953
479,FRenee2,() @realDonaldTrump COVID-19 🚨 ALERT,United States,,39.7837304,-100.4458825
480,jmetalblast,"(+) @Somethi23060044 @ggreenwald Not at all. And it's concerning how many on the left have encouraged silencing protesters that they disagree with, using covid as an excuse, while celebrating their own protests and demonstrations. COVID-19 is real, and all these assholes turned it political.",Acacia Avenue,+,53.07943835,-1.24970354830438
481,_tinrobot,(+) Breaking: COVID-19 has tested positive for Matt Gaetz. Our thoughts and prayers are with the virus in this troubling time. 🙏,Upper Left,+,38.3389547,-106.5501146
483,Books4Christian,() Church Safety and Security – COVID-19 Resources – 10 things that every church must do,"Chicago, Il",,41.8755546,-87.6244212
486,fredwalton216,"(+) 1)Denmark, US, Italy, Spain, Netherlands, Sweden have reported new COVID-19 cases linked to mink farms, as per WHO. Danish Health authorities have expressed concern this strain, known as ""Cluster 5"", is not inhibited by antibodies to the same degree as the normal 🦠 ...",Pennsylvania,+,40.9699889,-77.7278831
488,NewHavenArts,"(+) As New Haven reels from a second spike in COVID-19 cases, restaurants and small food businesses are asking the city for more support. Get the scoop in our latest.","New Haven, Connecticut",+,41.3082138,-72.9250518
489,MothershipSG,(-) No new locations visited by Covid-19 patients in S'pore on Nov. 7,Singapore,-,1.357107,103.8194992
490,WorkWearingA22,(+) @RightWingWatch So many questions. Why didn’t the angels from Africa and South America fly here ahead of Nov. 4th? Do they fly commercial? Are they coming here to help with Covid-19 or just to help Trump? When they get here are they going to be counting ballots? Do they get free lodging?,United States,+,39.7837304,-100.4458825
492,Radioapparaten,(+) Poland reports new COVID-19 records,"Köpenhamn, Danmark",+,55.6867243,12.5700724
493,SevenStarHand,"(+) 1/2 Here is my thread on strengthening immune systems to defend against viral infections like COVID-19, colds, flu, etc. It is vital to notice that after I started discussing this topic and details herein (see 6-10), Donald Trump overtly tried to discredit it by proxy with his...","Eugene, Oregon, USA",+,44.0505054,-123.0950506
494,NiklosStephan,(-) Was the USA 2020 elections not the actual reason for COVID-19 in the US context? Call me cynical but there is a strange connection. @haniefhaider,"Jozi, South Africa",-,-29.7366736,30.9708685
495,k29664911,(+) Blue Valley schools report record number of new COVID-19 cases – KMBC Kansas City,America,+,-27.4351024,-59.0017622330522
496,natscookiejar,() Covid-19 has not gone away this week in #Arizona - where are you @dougducey ??,"Phoenix, AZ",,33.4485866,-112.0773456
497,edav38,"() @QHarleys Covid-19 does exist, it was an ingredient in last years Flu shots, is says so on the box the shots came in. The thing is, the Test Kits, Patented by Richard Rothschild, in 2015, inky Test for Antibodies, so IF you got the Flu shot, and your immune system Hasn't removed....",Berkley county SC,,39.8044307,-105.0260934
498,GowthamreddyC,(+) Congratulations to @isro on Launching #PSLVC49/ #EOS01 Carrying 9 Rockets to the Space. Even during Covid-19 Times Your Efforts Making INDIA Proud. Once Again Congratulations to @isro Team #PSLVC49 #EOS01 #ISRO,"Anantapur, India",+,14.55,77.416667
499,fatah_pak,() Sindh Covid-19 Update - 5th November 2020,Pakistan,,30.3308401,71.247499
500,ChristheBee2,"(+) Breaking; Mark Meadows, Trump’s Chief of Staff, says “no need to worry about me and my COVID-19 prognosis around other healthy folk, most all of my friends wear white hoods!”",California,+,36.7014631,-118.7559974
501,Naijawhatsup,"(+) Real Madrid’s Hazard, Casemiro Test Positive For COVID-19",Nigeria,+,9.6000359,7.9999721
502,USRealityCheck,"(+) Comic: Election Results, Covid-19 Surge To Drive Sentiment In The Week Ahead:",USA,+,39.7837304,-100.4458825
503,bjgesteland,"(+) Utah teachers union demands that Gov. Gary Herbert move junior high and high schools online while COVID-19 cases break records, via @sltrib","Ogden, Utah",+,41.2230048,-111.9738429
504,SaveAmerica206,"(-) So is the Lincoln Project one reason we got ppl voting Biden and red down ballot? I appreciate the Biden votes. But I think 3 SC judges and COVID-19 is why if u ask me. They had enough of him and got enough out of him. Not the masses, the #GOP power",WA,-,47.2868352,-120.2126139
505,coop22089074,(+) Manufacturers fare better than many service providers in COVID-19 economy #FoxBusiness,"Griffin, Georgia",+,33.2467807,-84.2640904
506,RealMadridFC_b,(+) Real Madrid duo Hazard and Casemiro test positive for COVID-19 - Soccer News Ready for your highlights: #RealMadrid,Internet,+,19.37218875,-72.3346544510523
507,DDNewslive,(+) Special programme: Aarogya Bharat: COVID-19 #IndiaFightsCovid19 #MaskUpIndia,"New Delhi, India",+,28.6141793,77.2022662
508,BWiT_ALL,(+) Aerosolized bleach?... 🦠 How to clean a Covid-19 infested White House for the next resident — Quartz,"Los Angeles, CA",+,34.054935,-118.244476
509,wokemillenniall,(+) @numberonepal Why does this surprise anyone? COVID-19 was created there with the help of the radical Left implemented to win this election this is a plan in the making after the impeachment didn’t work we saw Biden is connected to them he even campaigned on selling us out to them,"Texas, USA",+,31.8160381,-99.5120986
510,k29664911,(-) County health experts say surge in COVID-19 cases are due to community spread – KCCI Des Moines,America,-,-27.4351024,-59.0017622330522
512,Heerak4Congress,"(-) USA is headed to over 3 million COViD-19 deaths by June 2021, unfortunately. It can be 30,000,000 if hotspot cities don't shut down completely! @OurMayors @HispanicCaucus @TheBlackCaucus @NatlGovsAssoc @usmayors @CDCgov @NIH @FDA @NHS See pinned tweet!","Arlington, Virginia",-,38.8903961,-77.0841585
513,editor13x,"(+) Top story: Texas poised to hit 1 million Covid-19 cases, the most in the nation , see more","Miami, Florida",+,25.7742658,-80.1936589
514,Megresistor,(+) U.S. breaks COVID-19 record for third straight day #SmartNews,United States,+,39.7837304,-100.4458825
516,TopherGrey,"(+) @RVAwonk Or perhaps more accurately, COVID-19 has just tested positive for Matt Gaetz.",Oregon,+,43.9792797,-120.737257
518,VeridicalW,"() While the US is focused on the election, the Covid-19 pandemic keeps growing",India,,22.3511148,78.6677428
519,babakph,() Dear God! 126k Covid-19 cases. Where was that vaccine that was promised before election day ?!,"Mountain View, CA ",,45.5073725,-73.6050824
520,draftpickvideo,(-) When COVID-19 moves your clients ⚽️ games two hours away!😷 We won’t let a little mileage stop us from getting our student athletes recruited! #DraftPickVideo #GameFilming #CollegeRecruitmentVideos,"Saint Louis, Missouri",-,38.6337716,-90.2416548
521,Bluto51,"(+) @Windycty23 Definitely a different year but the thing is everyone is playing in the same environment. Yes some teams may have to deal with more Covid-19 positives than others, but I could make a case that winning a championship this season takes more mental toughness than in a normal year.","Oklahoma City, OK",+,35.4729886,-97.5170536
522,joetenorio1,"(-) @TeamCavuto watching right now Cavuto you are such a snake. @FoxNews The POTUS is not the only ONE Claim fraud you idiot! This was an election during COVID-19 where many illegal things have been done. ""count all the vote"" cry is not the same as capon all Legal VOTES!","California, USA",-,36.7014631,-118.7559974
524,hzajic,(+) I know he’s not got the job for much longer but going golfing again when COVID-19 at an all time high? What a lazy loser!!#Loser #COVIDー19,California,+,36.7014631,-118.7559974
525,scott_tracht,() Opinion | How North Dakota became a covid-19 nightmare,"Tucson, AZ",,32.2218917,-110.9262353
526,jmackooh,"() If you’ve had covid-19 and don’t mind talking about it, will you dm me?","Indianapolis, IN",,39.7683331,-86.1583502
527,WorldCOVID19,"() NORTHERN IRELAND. Announced on Saturday. COVID-19 DEATH DETAILS. 15 further deaths have been recorded in Northern Ireland, bringing the total reported by the Department of Health to 774. #coronavirus disease 2019 (COVID-19) #COVID19 #NorthernIreland",United Kingdom,,25.2232283,55.1594933008754
528,NatLauter,(-) #Ontario 🇨🇦 experiencing spike in new COVID-19 ICU admissions not seen since June. “It seems like things are likely to take off and get significantly worse in the coming weeks or months. It takes time for that explosion to occur” #COVID19Ontario,"Ottawa, Ontario 🇨🇦",-,45.421106,-75.690308
529,OurMindsNotURS,"(+) Having researched extensively to find any genuine evidence that the Covid-19 virus exists, I feel down a rabbit hole. I couldn't find any REAL evidence that ANY virus exists. What if Germ theory is false? What if there is no such thing as a virus? All for the vaccine industry?",UK,+,54.7023545,-3.2765753
530,kcautv,"(+) November 7: Iowa reports more than 4,000 new COVID-19 cases","Sioux City, Iowa",+,42.4966815,-96.4058782
531,680CJOB,"(+) The number of critical care beds available in Manitoba could be tripled if a surge of COVID-19 cases pushes capacity limits, health officials say.","Winnipeg, Manitoba",+,49.884017,-97.168579
